Event_Duration_Hours,Event_Type,Event_Complexity,Number_of_Attendees,Venue_Size,Resources_Available,Team_Size,External_Dependencies,Budget,Historical_Preparation_Time_Hours,Preparation_Time_Hours
7,Conference,Medium,948,Small,Medium,37,No,Medium,247,249
20,Conference,Low,1306,Small,Medium,6,Yes,High,248,416
15,Workshop,Medium,857,Small,High,19,No,Medium,65,166
11,Conference,Medium,451,Small,Medium,18,Yes,Medium,422,398
8,Conference,Medium,512,Small,Medium,16,No,Medium,424,395
21,Conference,Medium,139,Small,High,23,Yes,Low,458,433
7,Conference,Medium,1165,Small,Medium,43,No,Medium,107,152
19,Workshop,High,606,Medium,Low,37,Yes,Low,155,202
23,Hackathon,Medium,1968,Medium,Medium,9,Yes,High,475,679
11,Hackathon,Medium,1515,Small,Low,3,No,Low,271,401
11,Conference,High,871,Medium,High,8,Yes,Medium,445,481
24,Hackathon,Medium,1423,Small,High,38,Yes,Low,49,227
21,Hackathon,Low,602,Small,Medium,4,Yes,Medium,202,316
4,Conference,Low,1008,Small,Medium,12,Yes,Low,248,293
8,Conference,Low,334,Medium,Low,44,Yes,Medium,51,10
24,Hackathon,High,1102,Medium,Low,31,Yes,Low,231,357
3,Workshop,Medium,1693,Small,High,25,Yes,Medium,205,305
22,Conference,High,457,Small,Low,16,No,Medium,297,366
21,Workshop,Medium,1561,Large,Medium,42,Yes,Medium,19,203
2,Hackathon,Medium,828,Small,High,14,Yes,Medium,244,262
24,Conference,Low,1650,Small,High,13,No,Medium,334,531
12,Workshop,Medium,1198,Large,Medium,41,No,Medium,274,319
6,Conference,Medium,1521,Large,Medium,7,Yes,High,78,237
2,Hackathon,High,1746,Medium,Medium,12,Yes,Medium,454,508
21,Workshop,Low,718,Medium,High,37,No,Low,148,212
1,Hackathon,Medium,1459,Small,Medium,50,Yes,High,364,358
12,Hackathon,Medium,1730,Small,Medium,4,Yes,Low,228,383
22,Conference,Medium,1867,Medium,Low,2,Yes,High,205,455
12,Workshop,Medium,274,Small,Low,35,No,Low,83,96
17,Hackathon,Medium,1908,Medium,Medium,44,Yes,Medium,112,276
10,Hackathon,Low,621,Large,High,3,No,Low,234,289
16,Workshop,Medium,1375,Large,High,4,No,High,132,316
15,Hackathon,Medium,841,Small,High,38,Yes,Medium,111,168
15,Hackathon,High,1759,Medium,Medium,12,No,Medium,273,446
19,Workshop,High,1311,Medium,High,19,Yes,Low,442,535
12,Workshop,Medium,683,Large,High,10,Yes,Medium,417,453
23,Workshop,Low,1472,Small,Medium,1,Yes,Medium,496,671
20,Workshop,High,166,Small,Medium,17,Yes,Medium,170,217
3,Conference,Medium,1455,Small,Medium,16,Yes,Low,242,308
5,Workshop,High,260,Small,High,9,Yes,Medium,284,255
19,Conference,Low,887,Small,Medium,9,Yes,Medium,267,377
7,Conference,Medium,1642,Medium,High,9,Yes,Low,320,442
21,Conference,High,539,Medium,Medium,12,Yes,Low,148,243
9,Hackathon,High,336,Small,High,41,No,Medium,236,178
7,Conference,Medium,970,Medium,Medium,15,Yes,High,282,333
18,Conference,Medium,904,Small,High,2,No,Low,435,534
4,Hackathon,Medium,106,Large,Medium,11,Yes,Medium,326,263
14,Hackathon,Low,522,Large,High,11,Yes,Low,396,404
18,Hackathon,Medium,225,Large,Medium,8,Yes,Medium,95,205
9,Workshop,Medium,1165,Large,Medium,32,Yes,Medium,300,345
21,Hackathon,High,1293,Small,Medium,6,Yes,Low,478,602
2,Hackathon,Medium,134,Small,Medium,20,Yes,Medium,226,173
20,Conference,Low,1115,Medium,Medium,39,No,High,368,427
15,Hackathon,Low,1316,Large,Medium,35,No,High,75,205
7,Workshop,Medium,1716,Small,High,8,Yes,Low,266,405
12,Hackathon,Medium,68,Small,Medium,50,No,Low,144,83
8,Workshop,Medium,1577,Large,Medium,49,Yes,High,413,429
15,Hackathon,Medium,170,Small,Medium,43,Yes,Low,436,340
3,Hackathon,High,293,Medium,Medium,34,No,Medium,384,303
14,Hackathon,High,115,Medium,High,19,Yes,Low,399,353
17,Hackathon,Medium,1138,Small,Medium,7,Yes,Medium,64,222
4,Workshop,High,1472,Small,High,31,Yes,Low,365,395
18,Workshop,Medium,237,Medium,Medium,18,Yes,High,252,270
8,Conference,Medium,1733,Medium,Low,40,Yes,High,261,342
4,Workshop,Low,1615,Large,High,14,Yes,Low,30,184
2,Hackathon,Medium,327,Small,Medium,39,Yes,High,316,227
6,Conference,Medium,1497,Small,Low,36,Yes,Medium,439,467
22,Conference,High,811,Medium,Medium,17,No,Low,172,292
10,Conference,Medium,1632,Medium,High,37,Yes,Medium,365,432
4,Hackathon,High,1915,Small,Medium,44,No,Medium,273,346
22,Workshop,Medium,883,Medium,Medium,9,No,Low,77,224
18,Hackathon,Low,481,Small,Medium,20,No,Low,116,197
12,Conference,High,1089,Small,Medium,45,No,High,409,392
2,Hackathon,Medium,634,Small,High,28,Yes,High,76,99
10,Hackathon,Medium,22,Small,Medium,50,Yes,High,208,115
4,Workshop,Medium,1473,Medium,Medium,20,Yes,Low,201,286
14,Workshop,Low,1051,Medium,High,41,No,Medium,11,94
16,Conference,Medium,703,Medium,Medium,36,Yes,Low,266,285
15,Hackathon,Medium,982,Large,Medium,27,Yes,High,451,503
8,Hackathon,Medium,122,Small,Medium,8,Yes,Low,10,54
14,Workshop,High,238,Small,Medium,32,No,Medium,367,308
23,Hackathon,Medium,180,Small,Medium,1,Yes,Medium,124,245
8,Hackathon,Low,304,Small,Medium,17,Yes,High,400,368
21,Hackathon,Medium,198,Medium,Medium,9,Yes,Medium,97,182
16,Workshop,High,435,Medium,Medium,20,No,Medium,206,251
13,Conference,Low,986,Medium,Medium,45,Yes,Medium,478,456
18,Conference,Low,1112,Small,Low,32,Yes,High,101,238
15,Hackathon,Low,667,Small,Medium,2,No,Low,283,356
21,Conference,Low,928,Medium,High,32,Yes,High,353,418
24,Workshop,High,1215,Small,Medium,45,No,High,169,282
13,Workshop,Medium,508,Medium,High,9,Yes,Low,182,229
9,Conference,Medium,1831,Large,Medium,30,Yes,Low,42,224
15,Conference,Medium,771,Small,High,20,No,Medium,467,474
13,Hackathon,Medium,875,Medium,High,38,No,Low,82,144
1,Conference,High,835,Medium,Low,1,Yes,Medium,442,423
7,Hackathon,High,1741,Small,Medium,5,Yes,Medium,426,536
9,Hackathon,Medium,1868,Medium,Medium,35,No,Medium,490,558
24,Workshop,High,80,Small,Medium,36,Yes,Low,464,419
1,Workshop,Medium,257,Small,Low,1,No,Medium,205,199
12,Workshop,Medium,155,Medium,High,14,No,Medium,293,279
8,Workshop,Low,1651,Large,Low,9,Yes,High,96,276
24,Conference,Medium,1808,Small,Medium,30,No,Low,318,509
11,Workshop,Medium,1329,Small,Medium,24,Yes,Medium,233,320
19,Conference,High,591,Large,Medium,4,No,High,53,189
17,Workshop,Medium,479,Large,High,50,Yes,Medium,345,311
8,Conference,High,1539,Medium,High,14,No,Medium,448,530
3,Hackathon,Medium,202,Small,Medium,25,No,Low,147,103
3,Conference,High,1101,Large,Medium,4,No,High,279,342
1,Conference,Medium,503,Small,Medium,25,No,Medium,368,297
5,Workshop,Medium,1850,Medium,High,10,Yes,High,45,227
10,Conference,Medium,61,Small,Low,35,Yes,High,43,33
7,Hackathon,High,891,Medium,Medium,7,No,Medium,97,194
9,Hackathon,Low,372,Small,High,42,No,Medium,155,129
7,Workshop,High,1830,Medium,Medium,13,No,Low,25,219
9,Hackathon,Low,926,Small,High,4,No,Low,242,322
8,Conference,Medium,483,Small,Low,50,Yes,Medium,430,335
12,Hackathon,High,1879,Medium,High,43,Yes,Medium,50,191
2,Workshop,Low,530,Large,Low,36,Yes,Medium,264,215
1,Conference,Low,1796,Large,Medium,14,No,High,290,361
16,Workshop,Medium,1464,Small,Medium,18,Yes,Low,135,298
23,Conference,High,1877,Medium,High,8,No,Medium,17,312
23,Hackathon,Low,1331,Medium,Medium,32,Yes,Medium,481,555
24,Workshop,High,1468,Small,Low,27,Yes,Medium,477,598
5,Workshop,Low,1729,Small,Medium,42,Yes,High,377,409
3,Conference,High,700,Medium,Medium,37,Yes,Medium,359,295
12,Workshop,High,1231,Large,Medium,23,No,Medium,349,426
8,Conference,Medium,1161,Medium,High,7,Yes,Medium,411,473
22,Conference,Medium,541,Medium,Medium,12,Yes,Low,333,386
3,Conference,Medium,1444,Medium,Medium,25,Yes,Medium,185,248
1,Conference,Medium,1967,Small,Low,3,No,Medium,237,395
3,Hackathon,Low,849,Medium,Medium,26,No,High,463,423
5,Conference,Low,1098,Medium,Medium,4,Yes,High,332,410
15,Workshop,Low,1727,Small,Medium,42,No,Medium,411,509
14,Hackathon,Medium,250,Large,Low,36,Yes,Medium,376,320
3,Workshop,Low,1402,Small,Medium,15,Yes,Low,497,548
1,Hackathon,Medium,545,Large,High,32,No,Low,27,17
5,Conference,High,1417,Small,Medium,29,Yes,Medium,65,151
23,Hackathon,Medium,1464,Small,Medium,10,No,Medium,416,568
14,Hackathon,Medium,2000,Small,High,21,Yes,Low,44,241
7,Workshop,Medium,92,Medium,High,16,No,Medium,399,347
9,Workshop,High,991,Small,Medium,47,Yes,Medium,127,168
15,Conference,High,1864,Medium,Medium,19,Yes,Low,291,446
15,Hackathon,High,1730,Medium,High,29,No,Medium,263,398
10,Hackathon,High,960,Medium,Low,18,Yes,Low,222,289
13,Hackathon,Low,1861,Small,Medium,44,Yes,Medium,70,209
19,Conference,High,620,Medium,Medium,16,Yes,High,97,185
7,Conference,Medium,583,Small,Medium,1,Yes,Medium,280,313
17,Conference,Low,295,Medium,Medium,48,Yes,High,356,300
20,Conference,High,998,Small,High,2,Yes,Low,41,225
4,Conference,Low,1567,Large,Low,15,No,Medium,405,473
5,Workshop,Medium,468,Medium,Medium,39,Yes,Medium,142,122
23,Hackathon,Low,1245,Medium,Medium,28,No,Medium,73,239
7,Hackathon,Medium,135,Medium,Medium,1,Yes,High,208,215
13,Hackathon,Medium,1446,Small,High,5,Yes,Medium,265,419
15,Hackathon,Medium,1532,Small,Medium,42,Yes,Medium,351,431
11,Hackathon,Medium,434,Large,High,22,Yes,Low,164,179
4,Hackathon,Medium,563,Large,Medium,36,Yes,Medium,472,383
13,Hackathon,High,619,Small,Medium,46,Yes,Medium,240,232
7,Hackathon,Low,1994,Medium,High,13,Yes,Medium,310,445
19,Workshop,Medium,1576,Medium,Medium,1,Yes,High,44,298
22,Hackathon,High,1191,Medium,Low,16,Yes,Low,35,239
2,Workshop,High,121,Small,High,41,Yes,Medium,32,10
10,Conference,Medium,411,Small,Medium,22,No,Medium,150,169
13,Hackathon,Medium,1792,Small,High,32,Yes,High,483,573
21,Conference,High,131,Large,High,16,Yes,High,396,397
6,Conference,High,282,Medium,Medium,15,Yes,Medium,294,268
12,Conference,Medium,1327,Medium,Medium,46,Yes,Low,459,470
12,Workshop,Low,407,Large,Medium,42,Yes,Medium,329,265
20,Conference,Low,480,Medium,Medium,12,No,Medium,165,261
11,Conference,Low,994,Large,High,1,No,High,480,525
23,Conference,Medium,1240,Medium,High,17,No,Medium,429,558
7,Hackathon,Low,1143,Small,Medium,41,No,Medium,122,158
1,Hackathon,Medium,1473,Large,Low,50,Yes,Medium,399,370
1,Workshop,Medium,1311,Medium,Medium,28,Yes,Medium,148,212
20,Workshop,Low,1996,Small,Medium,7,No,High,431,635
13,Hackathon,High,1601,Small,High,9,Yes,Low,383,503
9,Workshop,Medium,1920,Small,Low,22,Yes,Medium,427,524
3,Hackathon,Low,1948,Medium,High,26,No,High,218,326
7,Conference,High,578,Large,Medium,12,No,Low,332,338
6,Conference,Low,1973,Large,High,7,Yes,Medium,373,515
8,Workshop,Medium,1515,Large,Medium,46,Yes,Medium,439,442
9,Hackathon,Medium,1836,Small,Medium,47,No,Medium,491,516
5,Hackathon,Medium,1147,Small,Medium,15,No,Low,95,189
1,Workshop,High,1926,Small,High,38,No,Medium,294,355
19,Hackathon,Medium,906,Large,Medium,21,No,Medium,69,220
10,Conference,Medium,829,Small,Medium,14,Yes,Low,63,156
12,Workshop,Low,862,Medium,Medium,2,Yes,Medium,102,242
24,Workshop,Low,1510,Medium,Low,8,Yes,Low,334,510
15,Hackathon,High,719,Medium,Medium,45,Yes,Medium,467,415
22,Workshop,Medium,1966,Small,High,6,No,High,467,657
24,Hackathon,Medium,330,Large,Low,37,No,Low,382,396
9,Hackathon,Medium,188,Large,Medium,37,Yes,Low,274,227
20,Hackathon,Medium,906,Small,Medium,33,Yes,High,391,430
17,Hackathon,Low,228,Medium,Medium,41,Yes,Medium,222,199
17,Hackathon,Medium,798,Large,Low,6,No,Low,342,415
20,Workshop,Medium,1982,Small,Medium,26,Yes,Medium,19,243
12,Conference,Low,1561,Medium,Low,39,Yes,Low,367,439
7,Conference,Low,501,Small,Low,41,Yes,Low,212,175
2,Workshop,Low,1924,Medium,High,37,Yes,High,205,293
3,Workshop,Medium,70,Small,Medium,14,No,Medium,67,34
17,Conference,High,1087,Medium,High,37,Yes,Medium,265,348
5,Conference,Low,1713,Small,Low,8,Yes,Low,232,361
17,Conference,Low,547,Medium,Medium,39,Yes,Low,378,369
24,Conference,Medium,857,Large,Low,13,Yes,High,189,316
17,Conference,Medium,997,Large,Medium,13,No,Low,427,498
17,Hackathon,Medium,74,Large,High,40,Yes,Medium,371,312
2,Workshop,Medium,1645,Medium,High,43,Yes,Low,44,127
2,Hackathon,Medium,595,Small,Low,28,No,Medium,368,309
22,Conference,Medium,1737,Small,Medium,18,Yes,Low,112,342
23,Conference,High,180,Large,Medium,19,No,Medium,170,220
5,Conference,High,1306,Small,Medium,38,Yes,High,209,249
1,Hackathon,Low,1922,Small,Low,32,Yes,Medium,169,270
1,Hackathon,Low,1732,Medium,High,22,No,Low,192,290
19,Conference,Low,544,Small,High,2,No,Medium,362,436
2,Hackathon,Medium,1424,Small,High,13,Yes,Low,145,230
21,Hackathon,High,1973,Large,High,23,Yes,Medium,439,594
12,Conference,Medium,702,Large,Medium,25,Yes,Medium,407,384
6,Hackathon,Low,1360,Medium,Medium,28,Yes,Low,235,306
23,Workshop,Medium,117,Large,Low,11,Yes,Medium,401,434
4,Workshop,Medium,1880,Medium,Low,33,No,Medium,252,352
23,Workshop,Low,1195,Medium,Medium,24,Yes,High,115,282
11,Workshop,Medium,823,Small,High,2,Yes,Medium,80,176
24,Conference,Medium,1014,Small,High,30,Yes,Low,86,220
17,Conference,Medium,461,Medium,High,17,Yes,Medium,63,149
6,Conference,Low,1239,Large,High,40,No,Medium,286,304
24,Workshop,Low,599,Medium,High,34,Yes,Medium,120,206
5,Workshop,Medium,1049,Small,Medium,38,Yes,Medium,233,244
20,Hackathon,Low,336,Small,High,22,No,Medium,84,157
2,Hackathon,Medium,617,Large,Medium,5,Yes,Low,23,81
6,Workshop,Medium,668,Small,Medium,48,Yes,Low,468,369
22,Workshop,Medium,11,Medium,High,40,Yes,Medium,267,255
11,Workshop,High,1043,Small,High,16,No,Medium,491,516
16,Workshop,Medium,443,Small,Low,13,No,High,198,243
16,Hackathon,Low,134,Medium,Low,26,Yes,Medium,373,332
1,Workshop,Medium,1114,Medium,Medium,31,Yes,High,248,249
9,Hackathon,Medium,494,Small,Medium,39,No,High,410,354
6,Workshop,Medium,661,Small,High,48,Yes,High,343,274
16,Workshop,Low,1871,Large,Medium,23,Yes,Low,482,605
3,Workshop,High,1183,Small,Low,48,No,High,313,275
